Rank,Company,Market Cap (USD),Country,Sector,Industry
294,ETREND Hightech Corp,46400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
295,Major-Power Technology Co. Ltd,46400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
296,Zen Voce Corp,42000000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
297,Mospec Semiconductor Corp,41700000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
298,"WILLTEC Co.,Ltd.",40700000.0,Japan,Japanese Technology,Japanese Semiconductors
299,Avi-Tech Electronics Ltd,40000000.0,Singapore,Singaporean Technology,Singaporean Semiconductors
300,"MoSys, Inc.",39200000.0,United States,US Technology,US Semiconductors
301,"Micromem Technologies, Inc.",38800000.0,Canada,Canadian Technology,Canadian Semiconductors
302,HY Electronic,37000000.0,Cayman Islands,Cayman Islands Technology,Cayman Islands Semiconductors
303,"Soshin Electric Co.,Ltd.",36800000.0,Japan,Japanese Technology,Japanese Semiconductors
304,EMCORE Corporation,35500000.0,United States,US Technology,US Semiconductors
305,Unifosa Corp,35400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
306,"Myson Century, Inc.",35000000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
307,Tekcore Co. Ltd,32900000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
308,"Sunnic Technology & Merchandise, Inc.",32900000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
309,Alpha Microelectronics Corp,31800000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
310,"V-TAC Technology Co.,Ltd.",31500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
311,Polylite Taiwan Co. Ltd,31500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
312,East Tender Optoelectronics Corp,30500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
313,"AverLogic Technologies, Corp",30200000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
314,Promaster Technology Corp,29700000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
315,Higher Way Electronic Co. Ltd,29400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
316,Alcorlink Corp,29200000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
317,RoodMicrotec N.V.,27500000.0,Netherlands,Dutch Technology,Dutch Semiconductors
318,Teamphon Energy Co. Ltd,26500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
319,iROC Co. Ltd,25700000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
320,Arima Lasers Corp,23800000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
321,"PFC Device, Inc.",21600000.0,Hong Kong,HK Technology,HK Semiconductors
322,Sunright Ltd,20500000.0,Singapore,Singaporean Technology,Singaporean Semiconductors
323,"TM Technology, Inc.",20400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
324,"Oriental System Technology, Inc.",20400000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
325,Risecomm Group Holdings Ltd,19600000.0,China,Chinese Technology,Chinese Semiconductors
326,"Silicon Touch Technology, Inc.",18600000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
327,"3s Silicon Tech., Inc.",18200000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
328,WISeKey International Holding AG,18100000.0,Switzerland,Swiss Technology,Swiss Semiconductors
329,Avid Electronics Corp,17500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
330,"Parkervision, Inc.",13600000.0,United States,US Technology,US Semiconductors
331,Confidence Intelligence Holdings Ltd,11400000.0,China,Chinese Technology,Chinese Semiconductors
332,Brainhole Technology Ltd,8800000.0,Hong Kong,HK Technology,HK Semiconductors
333,Bluechiip Limited,7000000.0,Australia,Australian Technology,Australian Semiconductors
334,SemiLEDs Corporation,6500000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
335,Sync Power Corp,5800000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
336,Contel Technology Company Ltd,5800000.0,Hong Kong,HK Technology,HK Semiconductors
337,Powersafe Technology Corp,5200000.0,United States,US Technology,US Semiconductors
338,Quantum Numbers Corp,5100000.0,Canada,Canadian Technology,Canadian Semiconductors
339,"Genesis Photonics, Inc.",4200000.0,Taiwan,Taiwanese Technology,Taiwanese Semiconductors
340,Sensera Limited,4100000.0,Australia,Australian Technology,Australian Semiconductors
341,Phoenitron Holdings Ltd,3100000.0,Hong Kong,HK Technology,HK Semiconductors
342,"Summit Wireless Technologies, Inc.",2700000.0,United States,US Technology,US Semiconductors
343,Labat Africa Ltd,2500000.0,South Africa,South African Technology,South African Semiconductors
344,NeoMagic Corp,1600000.0,United States,US Technology,US Semiconductors
345,EEMS Italia SpA,1400000.0,Italy,Italian Technology,Italian Semiconductors
346,"Odyssey Semiconductor Technologies, Inc.",916336.0,United States,US Technology,US Semiconductors
347,"CardXX, Inc.",231333.0,United States,US Technology,US Semiconductors
348,Cyberlux Corp,154425.0,United States,US Technology,US Semiconductors
